Zone Timestep,Environment:Site Outdoor Air Drybulb Temperature[C]
2009-Jan-01 21:30:00,5.45
2009-Jan-01 21:40:00,5.466666666666667
2009-Jan-01 21:50:00,5.483333333333334
2009-Jan-01 22:00:00,5.5
2009-Jan-01 22:10:00,5.500000000000001
2009-Jan-01 22:20:00,5.5
2009-Jan-01 22:30:00,5.5
2009-Jan-01 22:40:00,5.5
2009-Jan-01 22:50:00,5.5
2009-Jan-01 23:00:00,5.5
2009-Jan-01 23:10:00,5.4
2009-Jan-01 23:20:00,5.300000000000001
2009-Jan-01 23:30:00,5.2
2009-Jan-01 23:40:00,5.1
2009-Jan-01 23:50:00,5.0
2009-Jan-02 00:00:00,4.9
2009-Jan-02 00:10:00,5.083333333333334
2009-Jan-02 00:20:00,5.2666666666666675
2009-Jan-02 00:30:00,5.45
2009-Jan-02 00:40:00,5.633333333333334
2009-Jan-02 00:50:00,5.816666666666666
2009-Jan-02 01:00:00,6.0
2009-Jan-02 01:10:00,6.0
2009-Jan-02 01:20:00,6.0
2009-Jan-02 01:30:00,6.0
2009-Jan-02 01:40:00,6.0
2009-Jan-02 01:50:00,6.0
2009-Jan-02 02:00:00,6.0
2009-Jan-02 02:10:00,5.933333333333334
2009-Jan-02 02:20:00,5.866666666666666
2009-Jan-02 02:30:00,5.8
2009-Jan-02 02:40:00,5.7333333333333325
2009-Jan-02 02:50:00,5.666666666666667
2009-Jan-02 03:00:00,5.6
2009-Jan-02 03:10:00,5.6000000000000005
2009-Jan-02 03:20:00,5.6
2009-Jan-02 03:30:00,5.6
2009-Jan-02 03:40:00,5.6
2009-Jan-02 03:50:00,5.6
2009-Jan-02 04:00:00,5.6
2009-Jan-02 04:10:00,5.766666666666667
2009-Jan-02 04:20:00,5.933333333333334
2009-Jan-02 04:30:00,6.1
2009-Jan-02 04:40:00,6.266666666666666
2009-Jan-02 04:50:00,6.433333333333333
2009-Jan-02 05:00:00,6.6
2009-Jan-02 05:10:00,6.633333333333333
2009-Jan-02 05:20:00,6.666666666666667
2009-Jan-02 05:30:00,6.699999999999999
2009-Jan-02 05:40:00,6.733333333333333
2009-Jan-02 05:50:00,6.766666666666667
2009-Jan-02 06:00:00,6.8
2009-Jan-02 06:10:00,6.766666666666667
2009-Jan-02 06:20:00,6.733333333333334
2009-Jan-02 06:30:00,6.699999999999999
2009-Jan-02 06:40:00,6.666666666666666
2009-Jan-02 06:50:00,6.633333333333333
2009-Jan-02 07:00:00,6.6
2009-Jan-02 07:10:00,6.683333333333334
2009-Jan-02 07:20:00,6.766666666666667
2009-Jan-02 07:30:00,6.85
2009-Jan-02 07:40:00,6.933333333333333
2009-Jan-02 07:50:00,7.016666666666667
2009-Jan-02 08:00:00,7.1
2009-Jan-02 08:10:00,7.1
2009-Jan-02 08:20:00,7.1
2009-Jan-02 08:30:00,7.1
2009-Jan-02 08:40:00,7.1
2009-Jan-02 08:50:00,7.1
2009-Jan-02 09:00:00,7.1
2009-Jan-02 09:10:00,7.083333333333334
2009-Jan-02 09:20:00,7.066666666666666
2009-Jan-02 09:30:00,7.05
2009-Jan-02 09:40:00,7.033333333333333
2009-Jan-02 09:50:00,7.016666666666667
2009-Jan-02 10:00:00,7.0
2009-Jan-02 10:10:00,7.083333333333334
2009-Jan-02 10:20:00,7.166666666666667
2009-Jan-02 10:30:00,7.25
2009-Jan-02 10:40:00,7.333333333333334
2009-Jan-02 10:50:00,7.416666666666666
2009-Jan-02 11:00:00,7.5
2009-Jan-02 11:10:00,7.483333333333333
2009-Jan-02 11:20:00,7.466666666666668
2009-Jan-02 11:30:00,7.45
2009-Jan-02 11:40:00,7.433333333333334
2009-Jan-02 11:50:00,7.416666666666667
2009-Jan-02 12:00:00,7.4
2009-Jan-02 12:10:00,7.45
2009-Jan-02 12:20:00,7.500000000000001
2009-Jan-02 12:30:00,7.550000000000001
2009-Jan-02 12:40:00,7.6
2009-Jan-02 12:50:00,7.65
2009-Jan-02 13:00:00,7.7
2009-Jan-02 13:10:00,7.716666666666667
2009-Jan-02 13:20:00,7.733333333333333
2009-Jan-02 13:30:00,7.75
2009-Jan-02 13:40:00,7.766666666666666
2009-Jan-02 13:50:00,7.783333333333333
2009-Jan-02 14:00:00,7.8
2009-Jan-02 14:10:00,7.733333333333333
2009-Jan-02 14:20:00,7.666666666666667
2009-Jan-02 14:30:00,7.6
