Zone Timestep,SURFACE 102:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],SURFACE 106:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],SURFACE 110:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],SURFACE 116:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2]
2009-Jan-01 13:40:00,17.81938912204688,17.81938226645143,17.81938912204688,17.81938912204689
2009-Jan-01 13:50:00,16.419175612907633,16.419169297497675,16.419175612907633,16.41917561290764
2009-Jan-01 14:00:00,15.02135177216586,15.021345995802607,15.02135177216586,15.021351772165868
2009-Jan-01 14:10:00,13.625922004510711,13.625916766053281,13.625922004510711,13.625922004510718
2009-Jan-01 14:20:00,12.232906330698093,12.232901628996064,12.232906330698093,12.232906330698102
2009-Jan-01 14:30:00,10.842338432951035,10.842334266837929,10.842338432951035,10.84233843295104
2009-Jan-01 14:40:00,9.454265551826705,9.454261920113538,9.454265551826705,9.45426555182671
2009-Jan-01 14:50:00,8.068751796904351,8.068748698371587,8.068751796904351,8.068751796904355
2009-Jan-01 15:00:00,6.6858888654770645,6.685886298861467,6.6858888654770645,6.685888865477068
2009-Jan-01 15:10:00,5.305824974980629,5.30582293894833,5.305824974980629,5.305824974980632
2009-Jan-01 15:20:00,3.928843893475457,3.9288423865573607,3.928843893475457,3.928843893475459
2009-Jan-01 15:30:00,2.555598954341746,2.555597974757415,2.555598954341746,2.555598954341747
2009-Jan-01 15:40:00,2.1298628308554632,2.1298620144412914,2.1298628308554632,2.1298628308554646
2009-Jan-01 15:50:00,1.7046731216394049,1.7046724681350014,1.7046731216394049,1.7046731216394058
2009-Jan-01 16:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 16:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 16:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 16:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 16:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 16:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 17:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 17:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 17:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 17:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 17:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 17:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 18:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 18:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 18:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 18:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 18:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 18:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 19:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 19:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 19:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 19:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 19:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 19:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 20:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 20:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 20:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 20:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 20:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 20:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 21:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 21:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 21:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 21:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 21:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 21:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 22:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 22:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 22:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 22:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 22:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 22:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 23:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 23:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 23:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 23:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 23:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 23:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 00:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 00:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 00:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 00:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 00:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 00:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 01:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 01:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 01:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 01:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 01:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 01:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 02:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 02:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 02:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 02:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 02:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 02:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 03:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 03:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 03:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 03:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 03:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 03:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 04:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 04:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 04:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 04:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 04:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 04:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 05:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 05:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 05:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 05:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 05:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 05:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 06:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 06:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 06:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 06:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 06:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 06:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 07:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 07:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 07:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 07:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 07:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 07:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 08:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 08:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 08:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 08:30:00,2.569603061528754,2.5696020752708435,2.569603061528754,2.5696030615287553
2009-Jan-02 08:40:00,4.472613842969471,4.472612124575257,4.472613842969471,4.472613842969474
2009-Jan-02 08:50:00,6.378574233947724,6.378571782011584,6.378574233947724,6.378574233947727
2009-Jan-02 09:00:00,8.287164956580218,8.287161769848684,8.287164956580218,8.287164956580222
2009-Jan-02 09:10:00,10.198836705993974,10.198832782998801,10.198836705993974,10.198836705993978
2009-Jan-02 09:20:00,12.113935247394654,12.113930586502821,12.113935247394654,12.11393524739466
2009-Jan-02 09:30:00,14.03267754233341,14.032672141808506,14.03267754233341,14.032677542333417
2009-Jan-02 09:40:00,42.08471289747125,19.07211841094142,19.072125697260944,35.34099049098831
2009-Jan-02 09:50:00,67.64318655139702,23.507523553834346,23.507532412556778,52.31861071001051
2009-Jan-02 10:00:00,110.85551922840399,28.968055049491053,28.968065945906684,77.77885396117725
2009-Jan-02 10:10:00,139.1215127210546,33.45320110431849,33.45321355278656,91.09600413741455
2009-Jan-02 10:20:00,168.09259318477612,37.894580579019966,37.894594540343796,102.50084665433133
2009-Jan-02 10:30:00,197.7453797156221,42.286950109655365,42.28696554470166,111.9570396497335
2009-Jan-02 10:40:00,227.60030860746582,44.73228305396653,44.73229916457679,118.26124826952528
2009-Jan-02 10:50:00,279.4487118041218,48.68324081009125,48.68325829582208,130.71076421404618
2009-Jan-02 11:00:00,311.30063045142873,51.17321765530618,51.17323580600142,132.06187638740806
2009-Jan-02 11:10:00,343.6739953827355,53.66182554642066,53.66184435157001,131.1227053005265
2009-Jan-02 11:20:00,376.4375050229587,56.14011891629907,56.14013836526021,127.82048945012099
2009-Jan-02 11:30:00,409.4652050363514,58.598545149510926,58.598565231262526,122.0930924675108
2009-Jan-02 11:40:00,386.5810509911446,59.13511762044156,59.135138125687384,104.29366318417675
2009-Jan-02 11:50:00,363.25088504607976,59.60808601143015,59.60810693089529,88.50163382431418
2009-Jan-02 12:00:00,339.603153437779,60.02495184346493,60.02497316726037,74.7250925575914
2009-Jan-02 12:10:00,293.8865943332911,58.45904568095122,58.4590664768119,61.009977336172376
2009-Jan-02 12:20:00,270.4181548904275,65.41964456844303,58.688711902947226,58.68871190294725
2009-Jan-02 12:30:00,247.2537648969864,72.92508637375124,58.86239989083836,58.86239989083839
2009-Jan-02 12:40:00,227.7239543427699,76.6846624696162,56.68265188452746,56.68265188452749
2009-Jan-02 12:50:00,208.5533710898047,79.04087071393673,54.448570487566826,54.448570487566855
2009-Jan-02 13:00:00,169.25861179698936,74.60775246919616,50.6880981803989,50.688098180398924
2009-Jan-02 13:10:00,151.09916976024172,73.60161276173993,48.39671546931828,48.3967154693183
2009-Jan-02 13:20:00,133.44519319656723,71.40316651375772,46.078779168137615,46.07877916813764
2009-Jan-02 13:30:00,116.32842907349342,68.07743967930139,43.741108552605894,43.74110855260591
2009-Jan-02 13:40:00,122.87804160765138,72.86550513824056,42.22542614498937,42.225426144989385
2009-Jan-02 13:50:00,129.49844906544433,78.48613092641389,40.65778719810305,40.657787198103065
2009-Jan-02 14:00:00,136.20033691212632,84.99994787140538,39.034900560482285,39.034900560482306
2009-Jan-02 14:10:00,160.48392937675806,102.3072280941705,38.62259113066118,38.622591130661185
2009-Jan-02 14:20:00,166.8488975104124,111.32300835068786,36.834525538375786,36.8345255383758
2009-Jan-02 14:30:00,173.52036322775726,121.57643489720029,34.97080881752124,34.97080881752125
2009-Jan-02 14:40:00,149.39452301644977,111.4368757311304,30.906992923697125,30.906992923697135
2009-Jan-02 14:50:00,125.92698780851855,99.8159538797296,26.829881670064005,26.829881670064015
2009-Jan-02 15:00:00,103.08906654937724,86.69922028096774,22.745870176057007,22.74587017605701
2009-Jan-02 15:10:00,66.49871462526244,59.58343328351623,17.905074786569354,17.90507478656936
2009-Jan-02 15:20:00,40.86661142264241,38.80460076795888,13.957266162819256,13.957266162819263
2009-Jan-02 15:30:00,13.535709070181056,13.517728304044404,9.692415405403372,9.692415405403377
