Zone Timestep,THERMAL ZONE 1:Zone Ventilation Mass Flow Rate[kg/s]
2009-Jan-01 19:20:00,0.2853013401188757
2009-Jan-01 19:30:00,0.28355402673899455
2009-Jan-01 19:40:00,0.2818916130398313
2009-Jan-01 19:50:00,0.2802414252295706
2009-Jan-01 20:00:00,0.2785867940436732
2009-Jan-01 20:10:00,0.28247858419416033
2009-Jan-01 20:20:00,0.28422309353274366
2009-Jan-01 20:30:00,0.2864606509072328
2009-Jan-01 20:40:00,0.2895735531262313
2009-Jan-01 20:50:00,0.292085219867075
2009-Jan-01 21:00:00,0.2949145992663058
2009-Jan-01 21:10:00,0.2929586194839191
2009-Jan-01 21:20:00,0.291491357707522
2009-Jan-01 21:30:00,0.2903781299985419
2009-Jan-01 21:40:00,0.28936137299699055
2009-Jan-01 21:50:00,0.28831752570746283
2009-Jan-01 22:00:00,0.28724884392838074
2009-Jan-01 22:10:00,0.287276373001277
2009-Jan-01 22:20:00,0.28425756291831283
2009-Jan-01 22:30:00,0.28396790650484593
2009-Jan-01 22:40:00,0.2843597188810983
2009-Jan-01 22:50:00,0.2854716799105127
2009-Jan-01 23:00:00,0.2864997023530327
2009-Jan-01 23:10:00,0.2881133798127627
2009-Jan-01 23:20:00,0.28927943855657434
2009-Jan-01 23:30:00,0.29035679118912655
2009-Jan-01 23:40:00,0.29153979987481954
2009-Jan-01 23:50:00,0.2928034025265274
2009-Jan-02 00:00:00,0.2940748765748528
2009-Jan-02 00:10:00,0.29409322929829984
2009-Jan-02 00:20:00,0.2945304107472985
2009-Jan-02 00:30:00,0.29540299944030196
2009-Jan-02 00:40:00,0.29645081952290375
2009-Jan-02 00:50:00,0.2975019419583173
2009-Jan-02 01:00:00,0.29853162507264003
2009-Jan-02 01:10:00,0.2989966997740994
2009-Jan-02 01:20:00,0.29921255759772214
2009-Jan-02 01:30:00,0.29921318936207497
2009-Jan-02 01:40:00,0.2991528835067626
2009-Jan-02 01:50:00,0.2991163442505768
2009-Jan-02 02:00:00,0.299104856021297
2009-Jan-02 02:10:00,0.2996356322387117
2009-Jan-02 02:20:00,0.30002918421568914
2009-Jan-02 02:30:00,0.30030810253795076
2009-Jan-02 02:40:00,0.300554916683721
2009-Jan-02 02:50:00,0.3008121809146269
2009-Jan-02 03:00:00,0.30107934377877504
2009-Jan-02 03:10:00,0.2986546268619921
2009-Jan-02 03:20:00,0.296441260252552
2009-Jan-02 03:30:00,0.29440626563505756
2009-Jan-02 03:40:00,0.29242355224663863
2009-Jan-02 03:50:00,0.29042722475848165
2009-Jan-02 04:00:00,0.2884170319270322
2009-Jan-02 04:10:00,0.2893276938817818
2009-Jan-02 04:20:00,0.29039554599929557
2009-Jan-02 04:30:00,0.29159999890557786
2009-Jan-02 04:40:00,0.2928522278041181
2009-Jan-02 04:50:00,0.29419399854741923
2009-Jan-02 05:00:00,0.29553580408230384
2009-Jan-02 05:10:00,0.295870619545884
2009-Jan-02 05:20:00,0.29615450659536685
2009-Jan-02 05:30:00,0.29625479912052727
2009-Jan-02 05:40:00,0.29621554786109555
2009-Jan-02 05:50:00,0.2961395806848625
2009-Jan-02 06:00:00,0.29607905013449026
2009-Jan-02 06:10:00,0.292410493114178
2009-Jan-02 06:20:00,0.2906660895183996
2009-Jan-02 06:30:00,0.28886326327025974
2009-Jan-02 06:40:00,0.28600670020345714
2009-Jan-02 06:50:00,0.2824307613465741
2009-Jan-02 07:00:00,0.2787306970963428
2009-Jan-02 07:10:00,0.2803164611515144
2009-Jan-02 07:20:00,0.282758007184117
2009-Jan-02 07:30:00,0.2851158648886017
2009-Jan-02 07:40:00,0.286970942739516
2009-Jan-02 07:50:00,0.28849367645964097
2009-Jan-02 08:00:00,0.2899507330231048
2009-Jan-02 08:10:00,0.29038374704325576
2009-Jan-02 08:20:00,0.2922127855671142
2009-Jan-02 08:30:00,0.2917998940270443
2009-Jan-02 08:40:00,0.29059219799248037
2009-Jan-02 08:50:00,0.29021415843837534
2009-Jan-02 09:00:00,0.28919263909802
2009-Jan-02 09:10:00,0.29179527071951056
2009-Jan-02 09:20:00,0.2940815810058096
2009-Jan-02 09:30:00,0.29620445612351093
2009-Jan-02 09:40:00,0.2982796877750118
2009-Jan-02 09:50:00,0.30034868220459815
2009-Jan-02 10:00:00,0.3024084701709246
2009-Jan-02 10:10:00,0.30403894832360573
2009-Jan-02 10:20:00,0.30582170750999427
2009-Jan-02 10:30:00,0.30764117824423687
2009-Jan-02 10:40:00,0.30943822977745583
2009-Jan-02 10:50:00,0.31120622710347096
2009-Jan-02 11:00:00,0.31296786094412593
2009-Jan-02 11:10:00,0.31538033693655126
2009-Jan-02 11:20:00,0.3176030862646636
2009-Jan-02 11:30:00,0.3196521251982909
2009-Jan-02 11:40:00,0.32163464268837
2009-Jan-02 11:50:00,0.3236113233254053
2009-Jan-02 12:00:00,0.32558825770377187
2009-Jan-02 12:10:00,0.32298236853955214
2009-Jan-02 12:20:00,0.3199045502529469
