Zone Timestep,THERMAL ZONE 1:Zone Air Temperature[C]
2009-Jan-01 20:10:00,16.854290875241496
2009-Jan-01 20:20:00,16.67813296955415
2009-Jan-01 20:30:00,16.479010199625996
2009-Jan-01 20:40:00,16.289269159132836
2009-Jan-01 20:50:00,16.143242020851062
2009-Jan-01 21:00:00,16.026810369023295
2009-Jan-01 21:10:00,15.977916145592742
2009-Jan-01 21:20:00,15.97794766648365
2009-Jan-01 21:30:00,15.9913020203577
2009-Jan-01 21:40:00,16.000897572139475
2009-Jan-01 21:50:00,16.007045807996302
2009-Jan-01 22:00:00,16.014523820970865
2009-Jan-01 22:10:00,15.593779928879517
2009-Jan-01 22:20:00,15.204414266543548
2009-Jan-01 22:30:00,15.0959328329965
2009-Jan-01 22:40:00,15.121921735820179
2009-Jan-01 22:50:00,15.136355351783822
2009-Jan-01 23:00:00,15.109308153390455
2009-Jan-01 23:10:00,15.020168112190659
2009-Jan-01 23:20:00,14.918632059455152
2009-Jan-01 23:30:00,14.831578873644496
2009-Jan-01 23:40:00,14.755529497969182
2009-Jan-01 23:50:00,14.680427136671355
2009-Jan-02 00:00:00,14.602518223375105
2009-Jan-02 00:10:00,14.582545068131076
2009-Jan-02 00:20:00,14.622950816850592
2009-Jan-02 00:30:00,14.687830247458065
2009-Jan-02 00:40:00,14.753395897727923
2009-Jan-02 00:50:00,14.816212885835732
2009-Jan-02 01:00:00,14.8807783881165
2009-Jan-02 01:10:00,14.910745549864298
2009-Jan-02 01:20:00,14.910833256597506
2009-Jan-02 01:30:00,14.902461100841677
2009-Jan-02 01:40:00,14.897388420213815
2009-Jan-02 01:50:00,14.895793529561958
2009-Jan-02 02:00:00,14.89457952881376
2009-Jan-02 02:10:00,14.874268958443304
2009-Jan-02 02:20:00,14.838007579109128
2009-Jan-02 02:30:00,14.79725330594799
2009-Jan-02 02:40:00,14.757910784036245
2009-Jan-02 02:50:00,14.71990277970681
2009-Jan-02 03:00:00,14.681596409436477
2009-Jan-02 03:10:00,14.672605730867254
2009-Jan-02 03:20:00,14.688356765043917
2009-Jan-02 03:30:00,14.711365429763315
2009-Jan-02 03:40:00,14.73249490241981
2009-Jan-02 03:50:00,14.751710434415193
2009-Jan-02 04:00:00,14.771451653138563
2009-Jan-02 04:10:00,14.813157874564347
2009-Jan-02 04:20:00,14.87400953218297
2009-Jan-02 04:30:00,14.941695068219051
2009-Jan-02 04:40:00,15.022035267642798
2009-Jan-02 04:50:00,15.102595662793433
2009-Jan-02 05:00:00,15.178608076858637
2009-Jan-02 05:10:00,15.247515917342666
2009-Jan-02 05:20:00,15.29086272438019
2009-Jan-02 05:30:00,15.314784182564663
2009-Jan-02 05:40:00,15.333590018579175
2009-Jan-02 05:50:00,15.354535802308149
2009-Jan-02 06:00:00,15.377289456046094
2009-Jan-02 06:10:00,15.667716971794302
2009-Jan-02 06:20:00,15.950055416776793
2009-Jan-02 06:30:00,16.085913420396157
2009-Jan-02 06:40:00,16.12181740943213
2009-Jan-02 06:50:00,16.14054637627557
2009-Jan-02 07:00:00,16.177942223609715
2009-Jan-02 07:10:00,16.334382161094663
2009-Jan-02 07:20:00,16.479255582472504
2009-Jan-02 07:30:00,16.554265387158658
2009-Jan-02 07:40:00,16.583093632617473
2009-Jan-02 07:50:00,16.60282288970495
2009-Jan-02 08:00:00,16.62882129833062
2009-Jan-02 08:10:00,17.232501164322255
2009-Jan-02 08:20:00,17.488315305042597
2009-Jan-02 08:30:00,17.739647182522184
2009-Jan-02 08:40:00,17.949019491278687
2009-Jan-02 08:50:00,18.069021828569433
2009-Jan-02 09:00:00,18.13160503161533
2009-Jan-02 09:10:00,18.150078299265356
2009-Jan-02 09:20:00,18.145700756349285
2009-Jan-02 09:30:00,18.134560603749655
2009-Jan-02 09:40:00,18.122408198992115
2009-Jan-02 09:50:00,18.108832546273
2009-Jan-02 10:00:00,18.122142184007217
2009-Jan-02 10:10:00,18.15655278637759
2009-Jan-02 10:20:00,18.196033746111766
2009-Jan-02 10:30:00,18.232381026530554
2009-Jan-02 10:40:00,18.264672324100342
2009-Jan-02 10:50:00,18.29605412301696
2009-Jan-02 11:00:00,18.32715779009273
2009-Jan-02 11:10:00,18.33173924575803
2009-Jan-02 11:20:00,18.31204683077177
2009-Jan-02 11:30:00,18.282957969238026
2009-Jan-02 11:40:00,18.252887911922183
2009-Jan-02 11:50:00,18.222681146265952
2009-Jan-02 12:00:00,18.1906915445899
2009-Jan-02 12:10:00,18.093211850011585
2009-Jan-02 12:20:00,18.04424924146965
2009-Jan-02 12:30:00,18.073254966336794
2009-Jan-02 12:40:00,18.14309409017818
2009-Jan-02 12:50:00,18.216446853539985
2009-Jan-02 13:00:00,18.28073244382192
2009-Jan-02 13:10:00,18.43327650186928
2009-Jan-02 13:20:00,18.56223778560237
2009-Jan-02 13:30:00,18.625333574286163
2009-Jan-02 13:40:00,18.652930820772777
2009-Jan-02 13:50:00,18.679047353010237
2009-Jan-02 14:00:00,18.713852753546284
2009-Jan-02 14:10:00,18.747661992374383
2009-Jan-02 14:20:00,18.77532667392888
2009-Jan-02 14:30:00,18.799191567371043
2009-Jan-02 14:40:00,18.819587066400825
2009-Jan-02 14:50:00,18.820452783828987
2009-Jan-02 15:00:00,18.818997901527467
2009-Jan-02 15:10:00,18.814586269910418
2009-Jan-02 15:20:00,18.806270441329968
2009-Jan-02 15:30:00,18.78062048764983
2009-Jan-02 15:40:00,18.757251146714395
2009-Jan-02 15:50:00,18.744857202452398
2009-Jan-02 16:00:00,18.737310105493133
2009-Jan-02 16:10:00,18.7134239422887
2009-Jan-02 16:20:00,18.674221676447353
2009-Jan-02 16:30:00,18.629928161415155
2009-Jan-02 16:40:00,18.58681249402463
2009-Jan-02 16:50:00,18.545444885480663
2009-Jan-02 17:00:00,18.504351110569665
2009-Jan-02 17:10:00,18.336842091775686
2009-Jan-02 17:20:00,18.2052134270778
2009-Jan-02 17:30:00,18.171387725434382
2009-Jan-02 17:40:00,18.197936022860354
2009-Jan-02 17:50:00,18.235533963491395
2009-Jan-02 18:00:00,18.264588321580504
