Zone Timestep,ZONE HVAC BASEBOARD RAD CONV WATER:Baseboard Total Heating Rate[W]
2009-Jan-01 20:00:00,672.9608781514285
2009-Jan-01 20:10:00,963.8525628556717
2009-Jan-01 20:20:00,950.0077173898368
2009-Jan-01 20:30:00,959.7280589329265
2009-Jan-01 20:40:00,959.6788782801659
2009-Jan-01 20:50:00,961.5759649055666
2009-Jan-01 21:00:00,965.661632985004
2009-Jan-01 21:10:00,965.6491909873381
2009-Jan-01 21:20:00,964.5026849118915
2009-Jan-01 21:30:00,965.6274443656342
2009-Jan-01 21:40:00,965.6167768635733
2009-Jan-01 21:50:00,965.6065843667194
2009-Jan-01 22:00:00,965.6005625606251
2009-Jan-01 22:10:00,0.0
2009-Jan-01 22:20:00,0.0
2009-Jan-01 22:30:00,0.0
2009-Jan-01 22:40:00,0.0
2009-Jan-01 22:50:00,0.0
2009-Jan-01 23:00:00,0.0
2009-Jan-01 23:10:00,0.0
2009-Jan-01 23:20:00,0.0
2009-Jan-01 23:30:00,129.77358387568023
2009-Jan-01 23:40:00,378.81385972623127
2009-Jan-01 23:50:00,210.83039607970807
2009-Jan-02 00:00:00,300.3452593932373
2009-Jan-02 00:10:00,323.4582387892535
2009-Jan-02 00:20:00,337.87827955769376
2009-Jan-02 00:30:00,346.7064595335676
2009-Jan-02 00:40:00,355.3824556656218
2009-Jan-02 00:50:00,361.027024509809
2009-Jan-02 01:00:00,365.2955396766972
2009-Jan-02 01:10:00,378.3790018507467
2009-Jan-02 01:20:00,393.7689504784365
2009-Jan-02 01:30:00,407.07312575547746
2009-Jan-02 01:40:00,418.13497694620276
2009-Jan-02 01:50:00,429.0326453890224
2009-Jan-02 02:00:00,439.19475360812044
2009-Jan-02 02:10:00,451.36706547731285
2009-Jan-02 02:20:00,463.4692405220639
2009-Jan-02 02:30:00,473.48632261102773
2009-Jan-02 02:40:00,484.1250297789894
2009-Jan-02 02:50:00,493.30283979081554
2009-Jan-02 03:00:00,501.79433515845824
