Zone Timestep,SURFACE 101:Surface Inside Face Temperature[C]
2009-Jan-01 00:10:00,16.79129718607934
2009-Jan-01 00:20:00,16.74743791525911
2009-Jan-01 00:30:00,16.707580604831488
2009-Jan-01 00:40:00,16.69049037726076
2009-Jan-01 00:50:00,16.66078688360802
2009-Jan-01 01:00:00,16.63546133965055
2009-Jan-01 01:10:00,16.610976405531538
2009-Jan-01 01:20:00,16.589399698778777
2009-Jan-01 01:30:00,16.569817438116623
2009-Jan-01 01:40:00,16.552524350141557
2009-Jan-01 01:50:00,16.536579543816902
2009-Jan-01 02:00:00,16.522500442709006
2009-Jan-01 02:10:00,16.50971656994032
2009-Jan-01 02:20:00,16.49835585499408
2009-Jan-01 02:30:00,16.48792584934287
2009-Jan-01 02:40:00,16.47861568496049
2009-Jan-01 02:50:00,16.470122838781975
2009-Jan-01 03:00:00,16.462531448381082
2009-Jan-01 03:10:00,16.45537379403247
2009-Jan-01 03:20:00,16.448997136381408
2009-Jan-01 03:30:00,16.443041504234827
2009-Jan-01 03:40:00,16.437868688962
2009-Jan-01 03:50:00,16.43289427275995
2009-Jan-01 04:00:00,16.42851650401954
2009-Jan-01 04:10:00,16.424425623212752
2009-Jan-01 04:20:00,16.420773319451165
2009-Jan-01 04:30:00,16.41736617029821
2009-Jan-01 04:40:00,16.41438094762534
2009-Jan-01 04:50:00,16.411551126414132
2009-Jan-01 05:00:00,16.409015336671683
2009-Jan-01 05:10:00,16.40512210783653
2009-Jan-01 05:20:00,16.402457996896352
2009-Jan-01 05:30:00,16.40006763812333
2009-Jan-01 05:40:00,16.398191969693638
2009-Jan-01 05:50:00,16.396118595277926
2009-Jan-01 06:00:00,16.394660854479376
2009-Jan-01 06:10:00,16.99315629111691
2009-Jan-01 06:20:00,17.318632128070846
2009-Jan-01 06:30:00,17.534988513180597
2009-Jan-01 06:40:00,17.67973731985907
2009-Jan-01 06:50:00,17.7912414790731
2009-Jan-01 07:00:00,17.873399450450016
2009-Jan-01 07:10:00,17.94967328991326
2009-Jan-01 07:20:00,18.005739867891954
2009-Jan-01 07:30:00,18.056924358440856
2009-Jan-01 07:40:00,18.09878398775705
2009-Jan-01 07:50:00,18.136011520034533
2009-Jan-01 08:00:00,18.167463099267113
2009-Jan-01 08:10:00,18.18707359138481
2009-Jan-01 08:20:00,18.203882683899074
2009-Jan-01 08:30:00,18.219819932215678
2009-Jan-01 08:40:00,18.23614170464575
2009-Jan-01 08:50:00,18.251191734079022
2009-Jan-01 09:00:00,18.26534044388246
2009-Jan-01 09:10:00,18.27886333190156
2009-Jan-01 09:20:00,18.2915442053117
2009-Jan-01 09:30:00,18.303483349539068
2009-Jan-01 09:40:00,18.315594096783833
2009-Jan-01 09:50:00,18.327045258411736
2009-Jan-01 10:00:00,18.338103776679432
2009-Jan-01 10:10:00,18.34790265771439
2009-Jan-01 10:20:00,18.357224019445223
2009-Jan-01 10:30:00,18.366173678413276
2009-Jan-01 10:40:00,18.373543130441426
2009-Jan-01 10:50:00,18.380524215255537
2009-Jan-01 11:00:00,18.387061767506758
2009-Jan-01 11:10:00,18.394384660345995
2009-Jan-01 11:20:00,18.401440400098267
2009-Jan-01 11:30:00,18.40836772406
2009-Jan-01 11:40:00,18.413399234402295
2009-Jan-01 11:50:00,18.418209117682853
2009-Jan-01 12:00:00,18.422672300952705
2009-Jan-01 12:10:00,18.415873443415016
2009-Jan-01 12:20:00,18.41883370022342
2009-Jan-01 12:30:00,18.42165916751891
2009-Jan-01 12:40:00,18.422491308475884
2009-Jan-01 12:50:00,18.423162446463653
2009-Jan-01 13:00:00,18.423507458713498
2009-Jan-01 13:10:00,18.434787889411076
2009-Jan-01 13:20:00,18.43585963179174
2009-Jan-01 13:30:00,18.436804781108787
2009-Jan-01 13:40:00,18.436472672314203
2009-Jan-01 13:50:00,18.435933105333135
2009-Jan-01 14:00:00,18.43518106243972
2009-Jan-01 14:10:00,18.43352176615552
2009-Jan-01 14:20:00,18.43164491553823
2009-Jan-01 14:30:00,18.3997539835785
2009-Jan-01 14:40:00,18.394922563257683
2009-Jan-01 14:50:00,18.390269445337314
2009-Jan-01 15:00:00,18.3864160826918
2009-Jan-01 15:10:00,18.381979536103813
2009-Jan-01 15:20:00,18.377855779995258
2009-Jan-01 15:30:00,18.373811441966872
2009-Jan-01 15:40:00,18.401386641632257
2009-Jan-01 15:50:00,18.402386856547032
2009-Jan-01 16:00:00,18.40173917575463
2009-Jan-01 16:10:00,18.40275537270135
2009-Jan-01 16:20:00,18.403275571824427
2009-Jan-01 16:30:00,18.3750994267343
2009-Jan-01 16:40:00,18.373242487536427
2009-Jan-01 16:50:00,18.371268516786795
2009-Jan-01 17:00:00,18.370374519717835
2009-Jan-01 17:10:00,18.37174578771038
2009-Jan-01 17:20:00,18.3724404759387
2009-Jan-01 17:30:00,18.373070230181217
2009-Jan-01 17:40:00,18.372865421528797
2009-Jan-01 17:50:00,18.372735169898203
2009-Jan-01 18:00:00,18.372312866753973
2009-Jan-01 18:10:00,18.37267550045494
2009-Jan-01 18:20:00,18.375256923530802
2009-Jan-01 18:30:00,18.377644052050336
2009-Jan-01 18:40:00,18.378861217583843
2009-Jan-01 18:50:00,18.38006936035252
2009-Jan-01 19:00:00,18.38079700673958
2009-Jan-01 19:10:00,18.381166936037182
2009-Jan-01 19:20:00,18.38127597231639
2009-Jan-01 19:30:00,18.38120116060624
2009-Jan-01 19:40:00,18.38087599990252
2009-Jan-01 19:50:00,18.380444206399027
2009-Jan-01 20:00:00,18.379921069421243
2009-Jan-01 20:10:00,18.376910633758154
2009-Jan-01 20:20:00,18.37770026544468
2009-Jan-01 20:30:00,18.37808820257054
2009-Jan-01 20:40:00,18.377707883732622
2009-Jan-01 20:50:00,18.377103407172207
2009-Jan-01 21:00:00,18.37631728826877
2009-Jan-01 21:10:00,18.376309497188647
2009-Jan-01 21:20:00,18.37596330584355
2009-Jan-01 21:30:00,18.37581786229335
2009-Jan-01 21:40:00,18.37548186010329
2009-Jan-01 21:50:00,18.375088955464882
2009-Jan-01 22:00:00,18.374544078603197
2009-Jan-01 22:10:00,18.329196662013516
2009-Jan-01 22:20:00,18.006021927425305
2009-Jan-01 22:30:00,17.879200774337733
2009-Jan-01 22:40:00,17.754333546231237
2009-Jan-01 22:50:00,17.562932552368245
2009-Jan-01 23:00:00,17.390474746666385
2009-Jan-01 23:10:00,17.29886282246425
2009-Jan-01 23:20:00,17.203596169273816
2009-Jan-01 23:30:00,17.038928059256026
2009-Jan-01 23:40:00,16.968642319145072
2009-Jan-01 23:50:00,16.897478571478548
2009-Jan-02 00:00:00,16.843936680146214
2009-Jan-02 00:10:00,16.79139764929663
2009-Jan-02 00:20:00,16.747910406920404
2009-Jan-02 00:30:00,16.707938924332815
2009-Jan-02 00:40:00,16.67309317586546
2009-Jan-02 00:50:00,16.640971555695646
2009-Jan-02 01:00:00,16.612926115799727
2009-Jan-02 01:10:00,16.58650208897417
2009-Jan-02 01:20:00,16.56341862924172
2009-Jan-02 01:30:00,16.54235828475704
2009-Jan-02 01:40:00,16.523880600034772
2009-Jan-02 01:50:00,16.506853301232425
2009-Jan-02 02:00:00,16.49191059209716
2009-Jan-02 02:10:00,16.478298566150173
2009-Jan-02 02:20:00,16.466354094491322
2009-Jan-02 02:30:00,16.45538576018602
2009-Jan-02 02:40:00,16.44569263962309
2009-Jan-02 02:50:00,16.436728170239142
2009-Jan-02 03:00:00,16.4287504770711
2009-Jan-02 03:10:00,16.421181551168804
2009-Jan-02 03:20:00,16.41425763161839
2009-Jan-02 03:30:00,16.408006150622636
2009-Jan-02 03:40:00,16.4021980013976
2009-Jan-02 03:50:00,16.396800151164964
2009-Jan-02 04:00:00,16.39184862691097
2009-Jan-02 04:10:00,16.387901082800884
2009-Jan-02 04:20:00,16.384364611510943
2009-Jan-02 04:30:00,16.381039470746515
2009-Jan-02 04:40:00,16.39199291195792
2009-Jan-02 04:50:00,16.390950939816097
2009-Jan-02 05:00:00,16.390928359742414
2009-Jan-02 05:10:00,16.387671696047587
2009-Jan-02 05:20:00,16.385444203930835
2009-Jan-02 05:30:00,16.383236414785024
2009-Jan-02 05:40:00,16.381117688729905
