Zone Timestep,THERMAL ZONE 1:Zone Air Temperature[C]
2009-Jan-01 00:10:00,15.60252497996256
2009-Jan-01 00:20:00,15.603346005597869
2009-Jan-01 00:30:00,15.603753850698439
2009-Jan-01 00:40:00,15.604047212737177
2009-Jan-01 00:50:00,15.603554096099494
2009-Jan-01 01:00:00,15.603434407180595
2009-Jan-01 01:10:00,15.603699077486297
2009-Jan-01 01:20:00,15.604468068357944
2009-Jan-01 01:30:00,15.604897368104554
2009-Jan-01 01:40:00,15.605361190414692
2009-Jan-01 01:50:00,15.605976190735786
2009-Jan-01 02:00:00,15.605893695914391
2009-Jan-01 02:10:00,15.606665783580336
2009-Jan-01 02:20:00,15.60675655518644
2009-Jan-01 02:30:00,15.607002489102042
2009-Jan-01 02:40:00,15.606836507449906
2009-Jan-01 02:50:00,15.607041306763383
2009-Jan-01 03:00:00,15.607095365929212
2009-Jan-01 03:10:00,15.607290146170664
2009-Jan-01 03:20:00,15.607553028033374
2009-Jan-01 03:30:00,15.60746195347383
2009-Jan-01 03:40:00,15.607467989767878
2009-Jan-01 03:50:00,15.607650115210978
2009-Jan-01 04:00:00,15.607728697813096
2009-Jan-01 04:10:00,15.607732067662154
2009-Jan-01 04:20:00,15.607870161999081
2009-Jan-01 04:30:00,15.607778417412716
2009-Jan-01 04:40:00,15.60809281444579
2009-Jan-01 04:50:00,15.607996467811283
2009-Jan-01 05:00:00,15.607850230624942
2009-Jan-01 05:10:00,15.607245000796794
2009-Jan-01 05:20:00,15.607376476902692
2009-Jan-01 05:30:00,15.607339749517642
2009-Jan-01 05:40:00,15.607586750568036
2009-Jan-01 05:50:00,15.606963307269357
2009-Jan-01 06:00:00,15.60735837363027
2009-Jan-01 06:10:00,17.816798008952816
2009-Jan-01 06:20:00,20.42201775805607
2009-Jan-01 06:30:00,20.613242690894438
2009-Jan-01 06:40:00,20.866047311823397
2009-Jan-01 06:50:00,21.0538134659658
2009-Jan-01 07:00:00,21.04583476290954
2009-Jan-01 07:10:00,21.040729975114886
2009-Jan-01 07:20:00,21.035740000943925
2009-Jan-01 07:30:00,21.03399129123331
2009-Jan-01 07:40:00,21.032864893704353
2009-Jan-01 07:50:00,21.030541340151157
2009-Jan-01 08:00:00,21.02936939516091
2009-Jan-01 08:10:00,21.00469717995057
2009-Jan-01 08:20:00,21.005951645962906
2009-Jan-01 08:30:00,21.00521415179942
2009-Jan-01 08:40:00,21.00513170194059
2009-Jan-01 08:50:00,21.00475124792923
2009-Jan-01 09:00:00,21.00475291365137
2009-Jan-01 09:10:00,21.004378694210352
2009-Jan-01 09:20:00,21.004201198130904
2009-Jan-01 09:30:00,21.003897164757127
2009-Jan-01 09:40:00,21.003779569051638
2009-Jan-01 09:50:00,21.00345130139138
2009-Jan-01 10:00:00,21.003259417015343
2009-Jan-01 10:10:00,21.003034104109826
2009-Jan-01 10:20:00,21.002967521149557
2009-Jan-01 10:30:00,21.002764763852333
2009-Jan-01 10:40:00,21.002739727574895
2009-Jan-01 10:50:00,21.002542043669354
2009-Jan-01 11:00:00,21.002443395843553
2009-Jan-01 11:10:00,21.002418440472283
2009-Jan-01 11:20:00,21.002183368669716
