Zone Timestep,SURFACE 101:Surface Inside Face Temperature[C]
2009-Jan-01 20:10:00,17.469540794200316
2009-Jan-01 20:20:00,17.4133077504726
2009-Jan-01 20:30:00,17.37006288567629
2009-Jan-01 20:40:00,17.321994377339553
2009-Jan-01 20:50:00,17.273459032826903
2009-Jan-01 21:00:00,17.22886435897711
2009-Jan-01 21:10:00,17.19518025690225
2009-Jan-01 21:20:00,17.17105772363015
2009-Jan-01 21:30:00,17.152727300055528
2009-Jan-01 21:40:00,17.13752461196087
2009-Jan-01 21:50:00,17.123232125576656
2009-Jan-01 22:00:00,17.110808042728415
2009-Jan-01 22:10:00,17.02484321616426
2009-Jan-01 22:20:00,16.937782345154794
2009-Jan-01 22:30:00,16.89027577457778
2009-Jan-01 22:40:00,16.864266130710295
2009-Jan-01 22:50:00,16.84423462297944
2009-Jan-01 23:00:00,16.82293689939764
2009-Jan-01 23:10:00,16.790454469934524
2009-Jan-01 23:20:00,16.753569973820262
2009-Jan-01 23:30:00,16.717514188939106
2009-Jan-01 23:40:00,16.683221280504394
2009-Jan-01 23:50:00,16.649590843887083
2009-Jan-02 00:00:00,16.61562725711964
2009-Jan-02 00:10:00,16.589485196060977
2009-Jan-02 00:20:00,16.578202927456477
2009-Jan-02 00:30:00,16.576360009224643
2009-Jan-02 00:40:00,16.578927065768976
2009-Jan-02 00:50:00,16.583162618809382
2009-Jan-02 01:00:00,16.59019876153129
2009-Jan-02 01:10:00,16.592430326693894
2009-Jan-02 01:20:00,16.59026236065798
2009-Jan-02 01:30:00,16.58599147397425
2009-Jan-02 01:40:00,16.58136009569273
2009-Jan-02 01:50:00,16.57731415772699
2009-Jan-02 02:00:00,16.573561382388633
2009-Jan-02 02:10:00,16.56772224897632
2009-Jan-02 02:20:00,16.55822913776523
2009-Jan-02 02:30:00,16.546807362445925
2009-Jan-02 02:40:00,16.53453689294799
2009-Jan-02 02:50:00,16.522059073072928
2009-Jan-02 03:00:00,16.509043764595184
2009-Jan-02 03:10:00,16.499454561509793
2009-Jan-02 03:20:00,16.495308929709203
2009-Jan-02 03:30:00,16.493940856009576
2009-Jan-02 03:40:00,16.493778264059433
2009-Jan-02 03:50:00,16.493875040892746
2009-Jan-02 04:00:00,16.49473150381213
2009-Jan-02 04:10:00,16.500206861050103
2009-Jan-02 04:20:00,16.510963974102214
2009-Jan-02 04:30:00,16.524152857589897
2009-Jan-02 04:40:00,16.55603917129482
2009-Jan-02 04:50:00,16.57672984861686
2009-Jan-02 05:00:00,16.598793794313
2009-Jan-02 05:10:00,16.618216704068878
2009-Jan-02 05:20:00,16.63388132807853
2009-Jan-02 05:30:00,16.6463310373699
2009-Jan-02 05:40:00,16.65663999528787
2009-Jan-02 05:50:00,16.666541332611178
2009-Jan-02 06:00:00,16.675985420390884
2009-Jan-02 06:10:00,16.724648822205094
2009-Jan-02 06:20:00,16.778662196232784
2009-Jan-02 06:30:00,16.81721686854733
2009-Jan-02 06:40:00,16.840799570088766
2009-Jan-02 06:50:00,16.85787027152911
2009-Jan-02 07:00:00,16.87590423093867
2009-Jan-02 07:10:00,16.91304577935351
2009-Jan-02 07:20:00,16.948986449739685
2009-Jan-02 07:30:00,16.978318743485737
2009-Jan-02 07:40:00,17.000384666526923
2009-Jan-02 07:50:00,17.01851159395303
2009-Jan-02 08:00:00,17.036916555128595
2009-Jan-02 08:10:00,17.18199876725829
2009-Jan-02 08:20:00,17.22494962002806
2009-Jan-02 08:30:00,17.275774541244978
2009-Jan-02 08:40:00,17.333387860940405
2009-Jan-02 08:50:00,17.388292173117797
2009-Jan-02 09:00:00,17.43515467384542
2009-Jan-02 09:10:00,17.475086870828363
2009-Jan-02 09:20:00,17.50805625421992
2009-Jan-02 09:30:00,17.537748252245347
2009-Jan-02 09:40:00,17.569662045619985
2009-Jan-02 09:50:00,17.598957075297587
2009-Jan-02 10:00:00,17.647250545388363
2009-Jan-02 10:10:00,17.67983281642423
2009-Jan-02 10:20:00,17.71188290860531
2009-Jan-02 10:30:00,17.743210405733304
2009-Jan-02 10:40:00,17.77057380659672
2009-Jan-02 10:50:00,17.79903462406493
2009-Jan-02 11:00:00,17.824544684940538
2009-Jan-02 11:10:00,17.84612824246397
2009-Jan-02 11:20:00,17.865040788500913
2009-Jan-02 11:30:00,17.880779698072466
2009-Jan-02 11:40:00,17.891346343561064
2009-Jan-02 11:50:00,17.900370194416094
2009-Jan-02 12:00:00,17.907251779505792
2009-Jan-02 12:10:00,17.887813337684378
2009-Jan-02 12:20:00,17.888180447594895
2009-Jan-02 12:30:00,17.895414321570886
2009-Jan-02 12:40:00,17.905222682184668
2009-Jan-02 12:50:00,17.916781151072886
2009-Jan-02 13:00:00,17.92456352790015
2009-Jan-02 13:10:00,17.961103054315203
2009-Jan-02 13:20:00,17.985069810180413
2009-Jan-02 13:30:00,18.00426604669089
2009-Jan-02 13:40:00,18.024246191373997
2009-Jan-02 13:50:00,18.043530252880245
2009-Jan-02 14:00:00,18.063387095588148
2009-Jan-02 14:10:00,18.09011866725489
2009-Jan-02 14:20:00,18.110968939604977
2009-Jan-02 14:30:00,18.131882586318515
2009-Jan-02 14:40:00,18.138261108296685
2009-Jan-02 14:50:00,18.128806602578738
2009-Jan-02 15:00:00,18.122624715492638
2009-Jan-02 15:10:00,18.10463733983775
2009-Jan-02 15:20:00,18.087603245099164
2009-Jan-02 15:30:00,18.051550054954248
2009-Jan-02 15:40:00,18.040221123120077
2009-Jan-02 15:50:00,18.029607147548575
2009-Jan-02 16:00:00,18.004391581355367
2009-Jan-02 16:10:00,17.996469085258955
2009-Jan-02 16:20:00,17.98661660602662
2009-Jan-02 16:30:00,17.9761223767836
2009-Jan-02 16:40:00,17.9655654095162
2009-Jan-02 16:50:00,17.955059946027443
2009-Jan-02 17:00:00,17.944551300036224
2009-Jan-02 17:10:00,17.916393462318588
2009-Jan-02 17:20:00,17.893066372393815
2009-Jan-02 17:30:00,17.876682086084845
2009-Jan-02 17:40:00,17.86547231438764
2009-Jan-02 17:50:00,17.858504095514125
2009-Jan-02 18:00:00,17.853877267053253
2009-Jan-02 18:10:00,17.811476931922627
2009-Jan-02 18:20:00,17.774199342297734
2009-Jan-02 18:30:00,17.743578302630247
2009-Jan-02 18:40:00,17.701184592376855
2009-Jan-02 18:50:00,17.655953590023266
2009-Jan-02 19:00:00,17.614316040728617
2009-Jan-02 19:10:00,17.582661037080985
2009-Jan-02 19:20:00,17.55786845572734
2009-Jan-02 19:30:00,17.53654783430684
2009-Jan-02 19:40:00,17.517084838911046
